
Name                                                       AppID                                                                                                                                 
----                                                       -----                                                                                                                                 
Cliente Riot                                               C:\Riot Games\Riot Client\RiotClientServices.exe                                                                                      
DBeaver                                                    C:\Users\Amanda Pereira\AppData\Local\DBeaver\dbeaver.exe                                                                             
Uninstall                                                  C:\Users\Amanda Pereira\AppData\Local\DBeaver\Uninstall.exe                                                                           
Python 3.12 Manuals (64-bit)                               C:\Users\Amanda Pereira\AppData\Local\Programs\Python\Python312\Doc\html\index.html                                                   
Python 3.12 (64-bit)                                       C:\Users\Amanda Pereira\AppData\Local\Programs\Python\Python312\python.exe                                                            
Python 3.13 Manuals (64-bit)                               C:\Users\Amanda Pereira\AppData\Local\Programs\Python\Python313\Doc\html\index.html                                                   
Python 3.13 (64-bit)                                       C:\Users\Amanda Pereira\AppData\Local\Programs\Python\Python313\python.exe                                                            
XAMPP htdocs folder                                        C:\xampp\htdocs                                                                                                                       
XAMPP Control Panel                                        C:\xampp\xampp-control.exe                                                                                                            
Google Chrome                                              Chrome                                                                                                                                
?rea de trabalho remota do Google Chrome                   Chrome._crx_cmkncekebbplodngbpllndjkfo                                                                                                
AMD Software? Adrenalin Edition                            CNEventWindowClass                                                                                                                    
Discord                                                    com.squirrel.Discord.Discord                                                                                                          
Postman Agent                                              com.squirrel.Postman-Agent.PostmanAgent                                                                                               
Unity Hub                                                  com.unity3d.unityhub                                                                                                                  
Steam Support Center                                       http://support.steampowered.com/                                                                                                      
Bitnami for XAMPP                                          https://bitnami.com/stack/xampp?utm_source=bitnami&utm_medium=installer&utm_campaign=XAMPP%2BInstaller                                
Git FAQs (Frequently Asked Questions)                      https://github.com/git-for-windows/git/wiki/FAQ                                                                                       
Visite Java.com                                            https://java.com/                                                                                                                     
Obter Ajuda                                                https://java.com/help                                                                                                                 
Node.js website                                            https://nodejs.org/                                                                                                                   
Node.js documentation                                      https://nodejs.org/download/release/v20.11.1/docs/api/                                                                                
Install Additional Tools for Node.js                       Microsoft.AutoGenerated.{04770C2D-34E6-BE94-EFAD-FA817237D6E9}                                                                        
Git Bash                                                   Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}                                                                        
